Region,Sq. Km
KOMBO MUNYIRI,34.1
MAVURIA,60.4
MUTUOBARE,180.6
GACABARI,60.2
KINDARUMA,120.4
MAKIMA,336.7
MAKIMA,336.7
MAKIMA,79.9
MBONDONI,131.6
MWEA GRAZING,125.2
MWEA,180.7
KARABA,83.7
KARABA,50
WACHORO,33.7
RIAKANAU,97
GATEGI,27.7
RIAKANAU,69.3
MBEERE NORTH,783.6
EVURORE,415.1
IRIAITUNE,99
IRIAITUNE,54.1
NGOCE,44.9
ISHIARA,46.3
CIANGERA,22.6
EVURORE,23.7
KAMARANDI,90.6
MUTHANTHARA,49
NDENDERU,41.6
KANYUAMBORA,21.3
KAMWAMBIA,10.7
NGURA,10.6
KIANG'OMBE,42.6
KARIRU,19
KATHERA,23.6
MURINGARI,22.3
KAMUMU,11.1
NGAARI,11.1
NDURUMORI,68.4
KIENIRI,43.4
THAMBU,25.1
NGUTHI,24.5
NGUTHI,14.8
RWIRIA,9.7
MUMINJI,233.9
KARAMBARI,42.5
ITIIRA,24.2
KARAMBARI,18.3
KIRIE,59.1
KIRIE,24.8
NGUTHI,34.2
MUMINJI,54.5
GANGARA,35.5
KIVUE,19
MUTITU,77.9
CIERIA,35.2
MUTITU,42.7
NTHAWA,134.6
GITIBURI,33
GITIBURI,13.6
MUCHONOKE,19.4
NTHAWA,42.5
KUNE,23.9
SIAKAGO,18.6
RIANDU,45.1
MUTHANU,20.3
RIANDU,24.9
THURA,14
KWANDUAMBOGO,6.4
THURA,7.6
MT. KENYA FOREST,203
MT. KENYA FOREST,203
MT. KENYA FOREST,203
MT. KENYA FOREST,203
KITUI,"30,429.60"
IKUTHA,"9,033.10"
ATHI,942.2
ATHI,371.8
KILAWA,63.4
KISIIO,99.3
KITUTI,209.1
KALIVU,300.9
KALIVU,91.4
KATILINI,112.9
MAKAIYE,96.6
MALUMA,269.5
MALUMA,115.5
MONGUNI,69.3
MUAMBANI,84.7
IKUTHA,436.1
IKUTHA,221.9
KIANGU,71.7
KYOANI,45.7
MAAINI,21.2
NDILI,52.5
NGAWUNI,30.8
KASAALA,214.2
KASAALA,46
NGWATE,60.1
NZAMBA,42.8
UIINI,65.3
KANZIKO,498.3
KANZIKO,285.6
KEUTUNDA,38.9
KITUVWI,171.4
KIVANDENI,32.9
KYANYAA,16.6
MWANIANGA,25.8
SIMISI,212.7
EKANI,58.3
ILAMBA,98.2
SIMISI,56.1
TSAVO EAST NATIONAL PARK,"7,156.50"
TSAVO EAST NATIONAL PARK,"7,156.50"
TSAVO EAST NATIONAL PARK,"7,156.50"
KATULANI,323.7
KATULANI,323.7
ITOLEKA,26.8
ITOLEKA,14.2
KAKUUNI,12.6
KATHUNGI,31.6
KATHUNGI,31.6
KATULANI,48.4
KATULANI,33.1
KWA MULI,15.3
KAVISUNI,51.9
KAVISUNI,51.9
KAVUTA,45.8
IVOVOA,18.4
KAVUTA,12.6
MANGINA,14.8
MALIKU,54.2
MALIKU,54.2
MULANGO,24.8
KYAMBITI,10.8
KYANGUNGA,13.9
WII,16.4
WII,16.4
WIKILILYE,23.7
WIKILILYE,23.7
KISASI,294.6
KISASI,294.6
KATWALA,49.7
KANZAU,22.3
KATWALA,27.4
KISASI,35.3
KALATINE,6
MASIMBINI,29.3
KITUNGATI,23.4
KITUNGATI,23.4
MBITINI,43.2
MBITINI,43.2
MBUSYANI,85.2
MBUSYANI,25.8
MUKAMENI,19.3
NGUUNI,25.7
UNG'AATU,14.3
MOSA,27.7
MOSA,27.7
NGANGANI,14.1
NGANGANI,14.1
NGILUNI,16
KASEVI,4.8
KAVASYA,5.2
NGILUNI,6
KITUI CENTRAL,421.8
CENTRAL,222.1
IVAINI,15.8
IVAINI,2.5
KASYALA,10.1
KWA-MUTHEKE,3.2
KYANGWITHYA EAST,45.5
KWA-NGINDU,2.4
KYALILINI,9
MISEWANI,3.6
MUSEVE,26.3
NZUNGUNI,4.1
KYANGWITHYA WEST,79
MULUTU,19.3
NDUMONI,13.3
TIVA,17.1
UTOONI,29.3
MULUNDI,23
MULUNDI,23
MUTUNE,20.5
KATYETHOKA,2.2
KAVETA,6.9
MUTUNE,11.4
TOWNSHIP,2.2
KALUNDU,2.2
TUNGUTU,36
MANYENGO,2.6
MBUSYANI,7.1
TOWNSHIP,5.6
TUNGUTU,11.2
UNYAA,9.5
MIAMBANI,199.7
KAMANDIO,28.6
KAMANDIO,28.6
KANZAU,37.4
MALILI,37.4
MIAMBANI,133.7
MAKAANI,16.2
MUNG'ANG'A,49
MUTULA,49.3
NZAAYA,10.7
VINDA,8.5
KITUI WEST,416.4
KAUWI,238.9
KATUTU,64.9
KASAKINI,27.7
NZALAE,26.9
KATUTU,10.2
KAUWI,43.9
KAUWI,20.2
KYONDONI,10.7
KATHEKA,13
KIVANI,37.7
KIVANI,22.7
KANGUNGI,15
MUTANDA,29.5
MUTANDA,18.6
SANGALA,10.9
MUTINI,22.7
KISEVENI,14.5
MUTINI,8.2
KYENGE,40.3
KISAYANI,13.5
KYENGE,26.8
MUTONGUNI,87.3
KAIMU,50.9
KAIMU,29.4
MITHINI,21.5
KAKEANI,36.4
IIANI,11.9
KANGII,9.4
KAKEANI,15.1
USIANI,90.2
KANGONDO,15.4
KANGONDI,15.4
MUSENGO,30.2
KAKUMUTI,8.5
MUSENGO,21.6
USIANI,26.1
KAVALO,10.6
USIANI,15.5
YALATANI,18.5
YALATANI,18.5
KYUSO,"2,524.50"
KAMUWONGO,198.8
ITIVANZOU,53.4
ITIVANZOU,25.7
TULANDULI,27.6
KAMUWONGO,47.7
KAMUWONGO,21.9
KYANDOO,25.7
TYAA KAMUTHALE,97.8
KAMUTHALE,31.8
KATOONI,32.8
NDOO,33.2
KYUSO,483.7
KIMANGAO,184.5
KIMANGAO,76.1
KISEUNI,56.9
MASEKI,51.5
KIMU,67.3
KANDWIA,19.1
KIMU,28.9
MBANGWANI,19.3
KYUSO,139.2
GAI,139.2
NGAAIE,92.8
KAGHUI,35.8
NGAAIE,24.9
NZAALANI,32.1
MIVUKONI,269.8
KAMULA,81.9
IVONANGYA,41.9
KAMULA,40
MIVUKONI,101.9
KATUKA,67.9
MATAKA,34
TWIMYUA,86.1
KAKOONGO,42
TWIMYUA,44.1
NGOMENI,"1,572.10"
KAMUSILIU,118.1
KATHAALANI,38.8
NDATANI,37.7
KAMUSILIU,41.5
KAVAANI,871.3
IKIME,367.5
KAVAANI,57.5
MANDONGOI,446.3
MITAMISYI,454.6
KIMELA,173.9
MITAMISYI,67.2
TUMANA,213.5
NGOMENI,128.1
KALWA,70.5
KAVUTI,57.6
LOWER YATTA,"1,191.10"
KANYANGI,429
KALULINI,63.7
NGOMONI,32.5
SYOMUNYU,31.3
KANYANGI,58.4
KAVANGI,12.2
SYOMAKANDA,46.2
KANYONGONYO,77.7
KANYONGONYO,26.1
KILUMYA,51.5
KISEUNI,104.1
KISEUNI,69.8
KITHIANI,34.3
MANDONGOI,84.5
KISAYANI,17.1
MANDONGOI,22.7
MASIMBA,44.7
NZAMBIA,40.6
NZAMBIA,26.2
YAMUNYU,14.4
KWA VONZA,458.6
KANYONYOO,316.8
KANYONYOO,237.2
MWAKINI,79.6
KWA VONZA,44.1
TANGANYIKA,44.1
MIKUYUNI,97.7
MASAANI,23.1
MIKUYUNI,74.6
YATTA,303.4
ILIKA,59.3
ILIKA,23.3
WAIVUMBU,36.1
KAWONGO,60.1
KATHOME,26.3
KAWONGO,33.8
NDUNGUNI,28.7
KYAITHANI,16.4
NDUNGUNI,12.3
NTHILANI,19.3
KWAKILYA,8
NTHILANI,11.3
NTHONGONI,58.4
KATHEMBONI,29.5
MUVITHA,28.9
YATTA,77.5
MAKUSYA,23.2
MAMOLE,22.2
NYANYAA,32.2
MATINYANI,264.2
KATHIVO,86
KASAINI,12
KASAINI,6.7
MAKOLO,5.3
KATHIVO,15.3
KALINDILO,7.9
KATHIVO,7.4
KITHUMULA,17.2
KITHUMULA,11.5
NDIUNI,5.7
KOMBU,21.6
KILIMU,14.5
KYUASI,7.1
KWA-MULUNGU,19.9
KWA-MULUNGU,6
MASELELE,13.9
KWA-MUTONGA,105.8
KWA-MUTONGA,42.2
KITHUIYANI,9.2
KWA-MUMO,17
MUTONGA,16
MITHIIKWANI,39.6
MIKUYU-MIKYA,13
MITHIIKWANI,19.2
MIWONGONI,7.4
SYOKITHUMBI,23.9
KALIMBEVO,8.2
SYOKITHUMBI,15.7
MATINYANI,72.4
KALIMANI,21.2
KAVUVUU,5
KYAMBUSYA,11.3
NZAKAME,5
KAUMA,18.6
KAUMA,10.1
MUSOSYA,8.5
MATINYANI,19
KALIA,5.1
KATHEUNI,8.3
KYONDONI,5.5
MUTULU,13.6
KATHUMA,8.4
KITUMBI,1.2
MASEKI,4.1
MIGWANI,634.5
MIGWANI,169.5
ITOLONI,16.5
KAVALYANI,8
ITOLONI,8.5
KYOME,24.8
KYOME,12
NDALUNI,12.7
MIGWANI,34.7
KALILUNI,19.6
KYAMBOO,6.8
MIGWANI,8.3
NZAUNI,50.5
KIIKINI,10.1
MUIVU,25.8
NZAUNI,14.7
THOKOA,43
KASEVI,11.2
MUSUANI,16.1
THOKOA,15.7
NGUUTANI,414.9
NGUUTANI,83.8
KAKULULO,43.2
NZALAE,40.6
NGONGONI,35.8
KAVOLOI,8.9
MATHUNZINI,7
NGONGONI,19.9
NZAWA,43.6
MUTHIONI,19
NZAWA,24.6
THITANI,65
KAVAINI,32
KASANGA,33
WINZYEEI,68.6
WIKIVUVWA,28.9
WINZYEEI,39.7
KANYAA,16.5
KANYAA,10.2
KITULANI,6.2
THAANA NZAU,101.6
YENZUVA,41.3
KYUSYANI,35.1
THAANA,25.2
NZELUNI,50.1
ILALAMBYU,9.4
ILALAMBYU,6
MUNGALU,3.4
NZATANI,25.6
KALUU,8.9
MWANZILU,8.8
NZATANI,7.8
NZELUNI,15.2
KALIVE,8.6
NZELUNI,6.6
MUMONI,611.4
MUMONI CENTRAL,280.2
KATSE,135.8
KAMATHITU,34.9
KONYU,58.7
MBARANI,42.3
MUTANDA,65.4
KALIWA,26.7
MUTANDA,14.6
WANGUTU,24.1
NGUUKU,79
KATHIANI,17.3
KATIA,18.7
MUSOSYA,43
MUMONI SOUTH,331.2
KAKUYU,185.7
KAKUYU,55.4
KYANDALI,40.9
NGUNGANI,89.4
MUKONG'A,145.5
IKOONGO,95.4
MUKONG'A,50.2
MUTITU,"4,709.80"
MWITIKA,"4,709.80"
ENDAU,"1,948.40"
KATHUA,97.3
KATUMBI,854.1
NDETANI,914.9
YIUKU,82.2
KYAMATU,918.4
KYAMATU,85.1
MUTHUNGUE,780.2
NZANZU,53
MALALANI,"1,229.10"
MAKUKA,623.1
MALALANI,110.3
SYOU,114.7
TWAMBUI,381.1
MWITIKA,355.8
KATIKONI,53.7
KAVINGO,70.3
KIKUU,72.9
KILAA,37.7
MAKONGO,121.2
ZOMBE,258.1
KASUNGUNI,52.5
MALATANI,100.2
NGUNGI,33.6
THUA,71.7
MUTITU NORTH,548.3
MUTITU,548.3
KALIKU,370.1
KAVUTENI,82.7
KAWALA,97.9
KYAIMU,50.1
MANYOENI,139.4
MUTITU,178.3
ITIKO,57.3
KITOO,42.9
MASASINI,32.7
MUSUKINI,45.4
MUTOMO,"2,852.90"
IKANGA,473.6
IKANGA,227.1
ILUSYA,16.7
ITHUMULA,65.9
KATHUNGU,43.9
KIANGWA,39.7
MAKELLE,23.6
NDUUNDUNE,37.2
KYATUNE,246.5
KYATUNE,55.5
NDATANI,65.6
NGWANI,52.9
VOTE,38.7
YONGELA,33.8
MUTHA,"1,652.40"
MATHIMA,213.5
KENGO,55.4
KIATI,45
KIIMANI,35.9
KIVYUNI,44.5
MIVUNI,17.5
NDILILI,15.2
MUTHA,"1,122.60"
KAATENE,78.1
KALAMBANI,147.8
NGAANI,896.7
NDAKANI,316.3
ISAA,37.6
KALIA KATUNE,174.5
NDAKANI,104.2
MUTOMO,347.9
KIBWEA,188.7
KAWELU,79.1
KIBWEYA,52.3
UAE,57.3
MUTOMO,159.2
KANDAE,38.4
KITOO,73.3
MWALA,47.4
VOO,379
VOO,379
IMALE,40.7
KASASI,86.1
KIANGINE,51.8
KYAANGO,61.5
NZUNGUNI,139.1
MWINGI CENTRAL,"1,146.40"
CENTRAL,290
ENZIU,102.4
ENZUI,63.9
KANZUI,38.5
KAVUVWANI,48.2
KAVUONI,16.5
KAVUVWANI,22.6
MWINGI,9.1
KIVOU,70.1
KISAMA,30.3
KIVOU,39.8
MWINGI,69.4
ITHUMBI,47.4
KYANIKA,22
KIOMO,350
KAIRUNGU,103.8
KAIRUNGU,65
KAKONGO,38.7
KIOMO,72.4
KIOMO,47.1
MBONDONI,25.4
KYETHANI,173.8
ITENDEU,30.3
KARURA,48.7
KYETHANI,41.3
WIKITHUKI,53.5
MUMBUNI,124.3
KALISASI,14.6
KALISASI,6.3
MATETA,8.3
KANZANZU,22.8
KANZANZU,12.9
MULANGA,9.9
KATALWA,23.1
KATALWA,13.4
MUTWAATHI,9.7
KISOVO,30.2
KILULU,13.9
KISOVO,16.3
MATHYAKANI,20.1
MATHYAKANI,9.5
NGUNINI,10.5
MUMBUNI,13.5
KISUNGULA,3.6
KWANUNGU,9.9
WAITA,382.1
ENDUI,122.9
KATITIKA,82.5
NYAANYAA,40.3
MUTWANGOMBE,67.3
KATHOKA,25.1
MURWANA,42.2
MWAMBUI,86.2
IKUUSYA,42.7
MWAMBUI,43.4
WAITA,105.8
THONOA,59.8
WAITA,45.9
MWINGI EAST,"3,418.50"
MUI,398.4
KALITINI,117.4
ITIKO,54.5
YUMBU,62.9
MATHUKI,78.5
KIMONGO,34.6
KITISE,43.9
MUI,202.5
KATHUMO,27
LUNDI,54.3
NDUVANI,21.4
NGILUNI,49.1
NGOO,26.8
NGUNGI,23.8
NGUNI,"2,021.10"
IMBA,"1,118.40"
KAMUTIU,63.6
MWALALI,"1,054.80"
MAAI,105.9
KITHUMULA,39.7
KYAVYUKA,66.3
MBUVU,196.4
KAKUNIKE,59.7
KALANGA,40.9
MBUVU,95.8
NGUNI,147.8
MATHYAKANI,68.4
MWASUMA,79.4
UKASI,452.5
UKASI,452.5
NUU,999
KAVINDU,165
KYANGATI,70.3
NGUUNI,94.6
MUTYANGOME,138.7
MUANGENI,41.6
MUTYANGOME,37
NGIENI,60
MWAMBIU,130.2
MUTULU,78.9
MWAMBIU,51.3
NUU,75.1
NGAANI,75.1
NYAANI,90.8
KYAMBU,43
NYAANI,47.8
WINGENI,399.4
MALAWA,399.4
NZAMBANI,319.7
CHULUNI,77.5
KYANIKA,25.9
KAVALULA,6.4
KILONZO,12.7
MWEMBE TAYARI,6.8
MALUMA,51.6
ITHUMULA,18.7
KAANGWENI,32.9
NZANGATHI,88.7
KANDUTI,55.2
KATUMBU,24.7
NDUNGA,30.5
KYALELE,33.5
KALUVA,19.2
KIVUMBUNI,14.3
THUA,153.5
KENZE,77.2
KANGUU,16.9
KYANZAI,60.3
NGUNGI,76.2
INYUU,47.5
KITHO,28.7
THAGICU,362.7
MUMONI NORTH,362.7
KANTHUNGU,168.6
GATORONI,37.7
KAMAINDI,74.4
KANTHUNGU,56.5
THARAKA,194.1
GACIGONGO,91.8
GAKOMBE,75.6
KANYENGYA,26.7
TSEIKURU,"1,356.00"
MASYUNGWA,625.2
KATUMBI,161.7
KATILINGE,111.6
KYANDANI,50.1
MASYUNGWA,309.5
KASAINI,242.7
KITOVOTO,66.8
MULANGONI,153.9
KATHIANI,26
MUTHUNGUE,127.9
MUSAVANI,477.9
KANINGO,282.4
KAMUTHANGA,70.8
KANINGO,82.4
NGERENI,129.2
MUSAVANI,115.1
KYENINI,30.4
NGOMANO,41.1
WIKITHUKI,43.6
USUENI,80.4
KYAMALUTU,45.4
USUENI,34.9
TSEIKURU,253
KAIVIRYA,82.3
KAIVIRYA,14.3
KALIMBUI,28
KANGARAI,12.2
NZIITU,14
TOWNSHIP,13.7
MWANGEA,28.2
KILAWA,9.8
MWANGEA,7.1
SUMONI,11.4
NGALANGE,54.5
KATHUNGU,26.5
NGALANGE,28
NGONGONI,39.8
CIOKEREKE,16.5
NGONGONI,23.4
NZANZENI,48.1
KASYATHYONI,26.1
MWANGENI,22.1
MACHAKOS,"6,037.30"
ATHI RIVER,834.9
KATANI/MLOLONGO,126.5
GITHUNGURI,7.5
GITHUNGURI,7.5
KATANI,64.4
KATANI,30
NGELANI,34.4
MLOLONGO,54.6
MLOLONGO,35.1
SYOKIMAU,19.5
KINANIE/MATHATANI,232.2
KINANIE,232.2
KINANIE,56.7
KWAMBOO,65.7
MATHATANI,109.8
LUKENYA,223.3
LUKENYA,223.3
KAMULU,26.8
MUTHWANI,196.5
MAVOKO,252.9
ATHI RIVER,50.6
ATHI RIVER NORTH,30.7
ATHI RIVER TOWNSHIP,7.4
OLOSHAIKI,12.5
MAVOKO,202.3
MAVOKO,189.6
KANAANI,12.7
KALAMA,480.4
KALAMA,480.4
KALAMA,54
KIITINI,30.9
NZIUNI,23.1
KIMUTWA,305.3
KAATHI,14.1
KIMUTWA,18.7
KONZA,256.1
KYANZASU,16.4
KOLA,54.4
IIUNI,24.9
KATANGA,29.5
KYANGALA,29.8
KAKAYUNI,10.5
KINOI,8.9
KYANGALA,10.4
LUMBWA,36.9
MUUMANDU,36.9
KANGUNDO,173.4
KAKUYUNI,51.4
KAKUYUNI,8.4
KAKUYUNI,8.4
KATHAANA,15.2
KATHAANA,9.2
KITHONGONI,6
KATHEINI,8.5
KAVILINGUNI,8.5
KAWETHEI,19.4
KAWETHEI,5.9
MBUSYANI,6.6
MUKUNIKE,6.8
KANGUNDO,70.7
ISINGA,19.7
MATETANI,8.3
MULINGANA,4.3
ISINGA,7
KANGUNDO,14.4
MAIUNI,6.1
MUISUNI,8.3
KANZALU,21.4
KIKAMBUANI,4.7
KILIKU,5.4
MBILINI,7.6
NDUNDUNI,3.6
KITWII,15.2
KAWAUNI,8.8
KITWII,6.4
KIVAANI,32.5
KIVAANI,32.5
IIA-ITUNE,12.5
KATITU,5.8
KIVI,3.8
MIU,5.9
NGUMUTI,4.5
KYEVALUKI,18.8
KYEVALUKI,18.8
KATHOME,7.7
KYEVALUKI,11.1
KATHIANI,204.1
IVETI,51.4
IVETI,51.4
IVETI,5.9
KAANI,14.4
KALILUNI,11.9
KITUNDUNI,6.1
KOMBU,5.7
MBUUNI,7.4
KATHIANI,75.8
KAEWA,36.8
ITHAENI,8.7
KAEWA,7.1
KALUNGA,5
KAUTI,11.1
KITHIA,4.9
KATHIANI,38.9
KAIANI,11.1
KATHIANI,6.7
LITA,6.5
MBEE,7.9
NGOLENI,6.7
MITABONI,77
MITABONI,77
KINYAU,28.7
MATHUNYA,8.2
MITABONI,12.6
MIUMBUNI,13.6
NGIINI,7.3
THINU,6.5
MACHAKOS,280.1
CENTRAL,95.8
KIIMA KIMWE,23.2
KATOLONI,11.4
KIIMA KIMWE,3.4
MBILINI,4.9
MUTHINI,1.5
MWANYANI,2
MUMBUNI,46.6
KASINGA,9.4
LOWER KIANDANI,8.4
MISAKWANI,10.8
MUNGALA,11.1
UPPER KIANDANI,6.8
MUVUTI,20.2
KIVANDINI,11.2
MUVUTI,9
TOWNSHIP,5.8
EASTLEIGH,3.1
MJINI,2.8
MUTITUNI,83.1
MUA,51.9
KYAANI,14.6
KYANDA,15.1
MUA HILLS,22.2
MUTITUNI,12.4
KIVUTINI,3.5
MUTITUNI,3.7
NDUU,5.3
NGELANI,18.7
KAMUTHANGA,5.1
NGELANI,8.1
NZOWENI,5.5
VOTA,101.3
KATHEKA KAI,101.3
KATELEMBO,30.2
KATHEKA KAI,12.7
KITANGA,22.7
MIKUYU,35.7
MASINGA,"1,407.20"
EKALAKALA,177.3
EKALAKALA,116.1
EKALAKALA,74.5
NZUKINI,41.6
IKAATINI,61.1
IKAATINI,23.7
ITUNDUIMUNI,37.4
MASINGA,913
KANGONDE,206.8
KANGONDE,58.2
KIKUMINI,59.3
MIKUYUNI,37.2
MUSINGINI,52.1
KITHYOKO,250.7
THATHA,70.9
EENDEI,54.5
KITHYOKO,57.5
MIANGENI,67.7
KIVAA,265.7
IIANI,59.7
KYONDONI,50.1
KAEWA,44.4
KIVAA,111.5
MASINGA,189.9
KATULYE,62.3
MUKUSU,50.2
MUSUMAA,30.1
MASINGA,47.2
NDITHINI,316.9
MANANJA,68.9
KASUVILO,38.4
MANANJA,30.5
MUTHESYA,98.8
KATHUKINI,24.9
KIKULE,54.6
MUTHESYA,19.3
NDITHINI,149.2
KIATINENI,44.2
MILAANI,87.2
NDITHINI,17.8
MATUNGULU,581.4
CENTRAL,105.9
KALANDINI,25.8
KALANDINI,14.3
KATANGINI,6.5
MBUNI,5
MATUU,80.1
KWALE,27.6
MATUU,14.6
WENDANO,37.9
KYANZAVI,192.3
KIBOKO,56.1
KIBOKO,26.2
UAMANI,29.9
KYANZAVI,49.3
KAYATTA,24.1
KIANZAMBE,11.8
KWA KUMBU,11.9
KAYANZAVI,1.4
KYELENI,86.9
KITULUNI,21.4
KWOSAU,11.9
KYELENI,23.7
NZAMBANI,7.8
OLDONYO SABUK FOREST,22.1
MATUNGULU,283.2
KOMAROCK,143.9
KOMA,66.8
MUKENGESYA,77.1
MATHEINI,32
KATHEKA,16.9
KING'OTI,3.1
MATHEINI,12
MATUNGULU,16.4
KAMBUSU,5.8
MUTHWANI,5.2
MWATATI,5.3
NGULUNI,55.7
KITHIMANI,9.6
KITHUANI,17.7
KWANGII,17.9
NGULUNI,10.5
TALA,35.2
KATINE,14.6
KYAUME,7.7
SENGANI,12.9
MWALA,"1,013.40"
KIBAUNI,183.1
IKALAASA,87.6
KAMUTHWA,28.1
MATULANI,23.3
NDITHINI,19.8
NGUNGI,16.4
KIBAUNI,48.9
ITUMBULE,13
KITILE,17.4
MUKAA,18.4
NGOMANO,46.6
KILALA,30.9
KIUNDWANI,15.6
MASII,270.5
MAKUTANO,48.2
EMBUI,27.3
KYAMUTWII,10.5
MATHUNTHINI,10.4
MANGO,25.1
KYANGANGA,12.5
WETAA,12.5
MASII,96
KAVUMBU,14.8
KITHANGAINI,18.7
MBAANI,16
MITHINI,23.7
UTITHINI,22.9
MUTHETHENI,65.3
KALIAMBEU,14.3
KANG'ETHE,11.8
KIONYWENI,12.2
KYETHIVO,17.6
NTHAANI,9.4
VYULYA,35.9
MITHANGA,8.9
MUUSINI,7.6
UUNI,19.3
MWALA,278.9
KATHAMA,54.3
ETIKONI,12.4
KATITU,8
KWA MUTULA,14
MUTHWANI,11.3
ULAANI,8.7
KYAWANGO,62.1
KANGII,22
KYAWANGO,14.6
MAWELI,25.5
MBIUNI,93.1
KABAA,20.1
MAKILIVA,11.8
MBIUNI,13.7
MUMBUNI,31
NYAANYAA,16.5
MWALA,69.4
KAMWALA,16.1
KIBAU,13.8
KIVANDINI,8.3
MYANYANI,14.9
NGULINI,16.5
YATHUI,280.9
MIU,69.4
KALAMBA,16.8
KIKULUMI,10.4
KYAWIKYO,10.5
NGAMBA,11.5
UTITHINI,20.2
WAMUNYU,117.4
KAITHA,26.1
KAMBITI,28.6
KILEMBWA,24.7
KYAWANGO,18.6
NYAANI,19.5
YATHUI,94.1
KWAKALA,34.2
KYAMATULA,28.6
KYANGULUMI,31.4
YATTA,"1,062.40"
IKOMBE,327.6
IKOMBE,146.1
IKOMBE,71.8
KITHEUNI,46.1
KYASIONI,28.2
KINYAATA,181.5
KINYAATA,60.6
MAKUTANO,52.8
MATHINGAU,68.1
KATANGI,238.4
KATANGI,99.5
KATANGI,42.1
MEKILINGI,57.3
KYUA,139
SYOKISINGA,55.7
KYUA,83.2
MATUU,253.6
MATUU,124.6
KAKUMINI,31.6
KALULUINI,47
KATULANI,31.2
MATUU,14.8
NDALANI,129
KIVINGONI,59.1
MAMBA,41.1
NDALANI,28.8
YATTA,242.8
KITHIMANI,152.3
KAMBI YA NDEKE,51.3
KITHENDU,37.8
KITHIMANI,63.2
MAVOLONI,90.4
KISIIKI,18.9
KWANDOLO,34.2
MAVOLONI,37.4
MAKUENI,"8,176.70"
KATHONZWENI,880.7
KANTHUNI,111.5
KANTHUNI,111.5
IVINGA - NZIA,36.1
KANTHUNI,37.6
YEKANGA,37.8
KATHONZWENI,185.3
KATHONZWENI,95
ITUKA,46.1
THAVU,48.9
KWAKAVISI,90.3
KAVINGONI,43
KWAKAVISI,47.4
KITHUKI,150.3
KANZOKEA,64.9
KIMUNDI,25.4
YINTHUNGU,39.5
KITHUKI,85.4
KITHUKI,85.4
KITISE,291.1
KIANGINI,59.5
KIANGINI,27.6
KITEEI,31.9
KITISE,113.7
KITISE,113.7
MBUVO,58.3
KITULINI,58.3
MWANIA,59.7
MWANIA,59.7
MAVINDINI,142.4
MAVINDINI,93.2
KATITHI,40.4
MAVINDINI,52.7
MUUSINI,49.3
KIUMONI,14.6
MUUSINI,34.7
KIBWEZI,"3,137.40"
KIBWEZI,624.7
KIKUMBULYU,405.3
KALUNGU,28.5
KATHYAKA,107
MBUINZAU,20.9
MIKUYUNI,19.1
NDETANI,17.3
NGANDANI,52.4
NGULU,160
MASONGALENI,219.4
KYANGULI,17.6
MASIMBANI,70.8
MASONGALENI,42.6
ULILINZI,88.3
MACHINERY,276.1
KINYAMBU,131.3
KINYAMBU,131.3
UTITHI,144.9
THANGE,76.3
UTITHI,68.6
MTITO ANDEI,960.1
KAMBU,148
KAMBU,58.1
KITENG'EI,89.9
KATHEKANI,209
KATHEKANI,209
MTITO ANDEI,216.4
MTITO ANDEI,216.4
NGWATA,138
MUKAANGE,138
NTHONGONI,155
MANG'ELETE,155
NZAMBANI,93.7
MUTHINGIINI,93.7
CHYULU GAME RESERVE,801.5
CHYULU GAME RESERVE,801.5
CHYULU GAME RESERVE,801.5
TSAVO EAST NATIONAL PARK,475
TSAVO EAST NATIONAL PARK,475
TSAVO EAST NATIONAL PARK,475
KILUNGU,154.3
ILIMA,65.4
ILIMA,18.3
KYAKATONI,5.2
MATWIKU,5.9
MWAANI,7.2
KYAMUOSO,18.2
ENGAVU,9.3
ISOVYA,8.9
NDOLO,15.1
KYANGA,6.8
NDOLO,8.3
WAUTU,13.8
ITHUMA,5.5
MBUSYANI,8.3
KILUNGU,88.9
KIKOKO,34.6
KALONGO,17.8
KISEKINI,10.3
KITHANGATHINI,6.5
KILUNGU,22.4
MUSALALA,22.4
KITHEMBE,32
KAUTI,8.8
NDIANI,9.4
NDUU,13.8
MAKINDU,852.1
MAKINDU,852.1
KIBOKO,346.6
KAASUVI,182.9
KYALE,103.3
MULILII,60.4
MAKINDU,177.7
KAI,27.6
KAMBOO,67.5
KISINGO,37.1
KIU,34.6
MANYATTA,10.8
NGUUMO,207.1
KAUNGUNI,45.6
MUUNI,58.8
NDOVOINI,34.8
SYUMILE,67.9
TWAANDU,120.8
KALII,44
MITENDEU,38.6
NGAKAA,38.2
MAKUENI,609.3
KAITI,208.4
IUANI,29.8
IKUUA,14.2
IUANI,7.3
WANZIU,8.3
KILALA,50.5
KAUMONI,13.2
KILALA,21.7
NTHANGU,15.6
KIVANI,35.3
KIVANI,17.3
MAKONGO,18
MUKUYUNI,22.1
MUKUYUNI,22.1
UKIA,70.6
KYUASINI,14.3
MIWANI,16.5
MUMBUNI,7.7
UTAATI,22
NZUUNI,10.2
KEE,53.5
IKALYONI,11.7
IKALYONI,5.6
NTHONZWENI,6.1
KEE,9.9
KYAMWALYE,9.9
WATEMA,32
KASUNGUNI,9.3
KITANDI,5.8
MUTULANI,7.4
NGULUNI,9.4
WOTE,347.4
KIKUMINI,88.7
KAMBI MAWE,28.1
KIKUMINI,60.7
MUMBUNI,58.9
ITAA,20
MUMBUNI,38.9
MUVAU,84.8
KITONYONI,27
MUBAU,57.8
